QUESTIONS,ANSWERS
"Almost everyone needs it, asks for it, gives it. But almost nobody takes it.",advice
What goes up but never comes down?,age
"Die without me, never thank me. Walk right through me, never feel me.",air
"I cost no money to use, or conscious effort to take part of.",air
"Today he is there to trip you up. And he will torture you tomorrow.",alcohol
Come up and let us go. Go down and here we stay.,anchor
What do you throw out to use and take in when you're done?,anchor
"I'm very tempting, so its said, I have a shiny coat of red.",apple
"I fly through the air on small feathered wings, seeking out life.",arrow
"I have many feathers to help me fly. I have a body and head.",arrow
"I can be moved. I can be rolled. But nothing will I hold.",ball
"A time when they're green. A time when they're brown.",bananas
"My first is in blood and also in battle.",barrel
"I sleep by day, I fly by night. I have no feathers to aid my flight.",bat
"When I'm metal or wood, I help you get home.",bat
I am the yellow hem of the sea's blue skirt.,beach
"In the night a mountain, in the morning a meadow.",bed
"What is it that has four legs, one head, and a foot?",bed
"A warrior amongst the flowers, he bears a thrusting sword.",bee
"Thousands lay up gold within this house.",beehive
"Round as a button, deep as a well.",bell
"You heart it speak, for it has a hard tongue.",bell
"I am a fire's best friend. When fat, my body fills with wind.",bellows
"You get many of me, but never enough.",birthday
"I am seen in the water. If seen in the sky, I am in the rainbow.",blue
"My life is often a volume of grief, your help is needed.",book
"Turns us on our backs, and open up our stomachs.",books
"I heard of a wonder, of words moth-eaten.",bookworm
"Two brothers we are, great burdens we bear.",boots
I have a neck but no head. I have a body but no arm.,bottle
"As light as a feather, but you can't hold it for ten minutes.",breath
"Hard to catch, easy to hold. Can't be seen, unless it's cold.",breath
"I am free for the taking. Through all of your life.",breath
"I'm light as a feather, yet the strongest man can't hold me.",breath
"To cross the water I'm the way, for water I'm above.",bridge
"All about the house, with his lady he dances.",broom
"I have a hundred legs, but cannot stand.",broom
"A muttered rumble was heard from the pen.",bull
What lies in a tunnel of darkness. That can only attack when pulled back?,bullet
"Flat as a leaf, round as a ring. Has two eyes, can't see a thing.",button
"No matter how little or how much you use me.",calendar
I have one eye. See near and far. I hold the moments you treasure.,camera
"Always wax, yet always wane: I melt, succumbed to the flame.",candle
"My life can be measured in hours. I serve by being devoured.",candle
What has 13 hearts but none beat?,cards
What kind of pet always stays on the floor?,carpet
"Halo of water, tongue of wood. Skin of stone, long I've stood.",castle
"Stealthy as a shadow in the dead of night, cunning but affectionate.",cat
"Though desert men once called me God, today men call me mad.",cat
"I'm not really more than holes tied to more holes.",chain
"I have legs but walk not, a strong back but work not.",chair
"What's black when you get it, red when you use it?",charcoal
"Not born, but from a Mother's body drawn.",cheese
"I wear a red robe, with staff in hand, and a stone in my throat.",cherry
"A slow, solemn square-dance of warriors feinting.",chess
"What is it that given one, you'll have either two or none?",choice
"I have a face, yet no senses.",clock
